"If the heart rate remains < 60/min, continue with CC + SI.","If heart rate remains < 60/min, continue CC + SI.",G0000000|C0018787|C0871208|G0000000|G0000000|C0549178|G0000000
"Antigens for Season 1 (2005-2006) were A/New Caledonia/20/1999 (H1N1), A/New York/55/2004 (H3N2, A/California/7/2004-like), and B/Jiangsu/10/2003 (B/Shanghai/361/2002-like).","Antigens Season 1 (2005-2006) A/New Caledonia/20/1999 (H1N1), A/New York/55/2004 (H3N2, A/California/7/2004-like), B/Jiangsu/10/2003 (B/Shanghai/361/2002-like).",C0003320|C0036497|G0000000|G0000000|C0205314|C0450371|G0000000|C0205314|C0450371|G0000000|C0006754|C0450371|C1442061
Placebo study gas was 100% Grade 5 nitrogen gas.,Placebo study gas 100% Grade 5 nitrogen gas.,C0032042|C0557651|C0017110|C1442061|C0441800|G0000000|C0028158|C0017110
The eReferral system increased the referral of tobacco users to quitline treatment.,The eReferral system increased referral tobacco users quitline treatment.,G0000000|G0000000|C0449913|C0205217|C0034927|C0040329|C1706077|G0000000|C0039798
"Patients fulfilling both inclusion and exclusion criteria will be randomized to one of three groups: (1) exercise therapy + usual care, (2) CBT + usual care, or (3) usual care.","Patients fulfilling inclusion exclusion criteria randomized groups: (1) exercise therapy + usual care, (2) CBT + usual care, (3) usual care.",C0030705|C1550543|C0007637|C0680251|C0243161|C0034656|C0441833|G0000000|C0015259|C0039798|G0000000|C3538928|C1947933|G0000000|C0009244|G0000000|C3538928|C1947933|G0000000|C3538928|C1947933
The weekly goal for resistance bands was two sessions (supervised) which included eight different resistance exercises focused on the major muscle groups with up to 2 sets of 15 repetitions per exercise.,The weekly goal resistance bands sessions (supervised) included resistance exercises focused major muscle 2 sets 15 repetitions exercise.,G0000000|C0332174|C0018017|C0237834|C0175723|C1883016|G0000000|C0332257|C0237834|C0015259|C0205234|C0205082|C0026845|G0000000|C0036849|C0450371|C0205341|C0015259
"The addition of onartuzumab to first-line fluorouracil, leucovorin, and oxaliplatin (mFOLFOX6) did not significantly improve overall survival, progression-free survival, or objective response rate of mFOLFOX6 plus placebo in the intent-to-treat or MET-positive populations.","The addition onartuzumab first-line fluorouracil, leucovorin, oxaliplatin (mFOLFOX6) improve survival, progression-free survival, objective response rate mFOLFOX6 placebo intent-to-treat MET-positive populations.",G0000000|C0332287|C2826110|C0205435|C0016360|C0023413|C0069717|G0000000|G0000000|C0038952|C0242656|C0038952|C0018017|C0871261|C0871208|G0000000|C0032042|C0162425|C0268621|C0032659
"Person years in the intervention and control groups were calculated from date of study entry to 30 June 1999 or death, whichever was earlier.","Person intervention control calculated study entry 30 June 1999 death, whichever earlier.",C0027361|C0886296|C0243148|C0444686|C0557651|C1705654|C0450371|C3829443|G0000000|C0011065|G0000000|C1279919
Statistical analysis will be performed by an independent statistician who is blinded to the identification of each treatment group.,Statistical analysis performed independent statistician blinded identification treatment group.,C0038215|C0002778|C0884358|C0085862|C0334957|C0150108|C0020792|C0039798|C0441833
"Between March 2007 and April 2011, children with the history of RUTI and unilateral vesicoureteral reflux (VUR) were randomly assigned to receive concomitant probiotic and antibiotics (Lactobacillus acidophilus and bifidobacterium lactis, 107/ml, as 0.25 ml/kg three times a day regimen in addition to Nitrofurantoin, 1mg/kg daily (group I).","Between March 2007 April 2011, children history RUTI unilateral vesicoureteral reflux (VUR) randomly assigned receive concomitant probiotic antibiotics (Lactobacillus acidophilus bifidobacterium lactis, 107/ml, 0.25 ml/kg times day regimen addition Nitrofurantoin, 1mg/kg daily (group I).",G0000000|C3829202|G0000000|C3715024|G0000000|C0008059|C0019664|C0876160|C0205092|C0545902|C0017168|C0042580|G0000000|C1516050|C1514756|C0521115|C0525033|C0003232|C0022938|C0718215|C0005380|C3844603|C1442061|C0450371|C1300574|C0040223|C0332173|C0040808|C0332287|C0028156|C0022718|C0332173|C0441833|C0021966
Fifty-nine with screening serum 25-OHD concentrations ≥12 ng/mL were randomly assigned to receive vitamin D and calcium (VD+) or double placebo (VD−).,Fifty-nine screening serum 25-OHD concentrations ≥12 ng/mL randomly assigned receive vitamin D calcium (VD+) double placebo (VD−).,C3830128|C0220908|C0229671|C0450371|C0086045|G0000000|C0439275|G0000000|C1516050|C1514756|C0042890|C0073187|C0006675|C0036916|C0205173|C0032042|G0000000
"If a patient received a new treatment in addition to their basic therapy with drugs such as mesalazine or salazosulfapyridine, relapse was diagnosed, and the study treatment and fecal sample collection were discontinued.","If patient received treatment addition basic therapy drugs mesalazine salazosulfapyridine, relapse diagnosed, study treatment fecal sample collection discontinued.",G0000000|C0030705|C1514756|C0039798|C0332287|C1527178|C0039798|C0013227|C0127615|C0036078|C0035020|C0011900|C0557651|C0039798|C0015733|C0370003|C1516698|C1444662
The training program included 12 weekly 1-h sessions in a clinical setting and was applied in groups of 6 to 8 families.,The training program included 12 weekly 1-h sessions clinical setting applied 6 8 families.,G0000000|C0040607|C1709697|C0332257|C0450371|C0332174|C0033727|C1883016|C0205210|C0542559|C4048755|G0000000|G0000000|C0015576
"The outcomes will be measured at day 42 ± 7days and at day 90, for a total of four visits with each subject (at screening and at 0, 42 and 90 days).","The outcomes measured day 42 ± 7days day 90, total visits subject (at screening 0, 42 90 days).",G0000000|C1274040|C0444706|C0332173|C0450371|G0000000|G0000000|C0332173|C0450371|C0439175|C0545082|C0681850|G0000000|C0220908|G0000000|C0450371|C0450371|C0439228
"METHODS—The original study compared a three day course of dexamethasone (n = 132) with a saline placebo (n = 116) administered from before 12 hours of age in preterm infants, who were ventilated for respiratory distress syndrome and had received surfactant treatment.","METHODS—The original study compared day dexamethasone (n = 132) saline placebo (n = 116) administered 12 hours age preterm infants, ventilated respiratory distress syndrome received surfactant treatment.",G0000000|C0205313|C0557651|C1707455|C0332173|C0011777|C0369718|G0000000|C1442061|C0036082|C0032042|C0369718|G0000000|C1442061|C1521801|C0450371|C0439227|C0001779|C0151526|C0021270|C0231923|C0521346|C0231303|C0039082|C1514756|C0034085|C0039798
The study drug was administered at 0 and 30 min by a Jet nebulizer using a face mask.,The study drug administered 0 30 min Jet nebulizer mask.,G0000000|C0557651|C0013227|C1521801|G0000000|C0450371|C0702093|C0336862|C0027524|C0024861
"Once again, palivizumab was noted to be cost-effective versus absence of prophylaxis.","Once again, palivizumab cost-effective versus absence prophylaxis.",C0585347|G0000000|C0672596|C0010181|G0000000|C0332197|C0033107
"Outcome measures for CVC insertion IJV - internal jugular vein, SCV - subclavian vein, ALT - anatomical landmark technique, USG - ultrasound, FE test - Fisher's exact test Comparison of operator experience with success rates The average number of attempts required for successful IJV catheter insertion was 1.5 (95% CI: 1.3–1.6) in the ALT group and 1.2 (95% CI: 1.1–1.3) in the USG group (P < 0.001).","Outcome measures CVC insertion IJV - internal jugular vein, SCV - subclavian vein, ALT - anatomical landmark technique, USG - ultrasound, FE test - Fisher's exact test Comparison operator experience success rates The average attempts required successful IJV catheter insertion 1.5 (95% CI: 1.3–1.6) ALT 1.2 (95% CI: 1.1–1.3) USG (P < 0.001).",C1274040|C0079809|G0000000|C0021107|G0000000|G0000000|C0205102|G0000000|C0042449|G0000000|G0000000|C0589488|C0042449|C1266129|G0000000|C0220784|G0000000|C0449851|G0000000|G0000000|C0041618|C2346593|C0022885|G0000000|C0325045|C2828393|C0022885|C1707455|C1705273|C0237607|C0597535|C0871208|G0000000|C1510992|C1516084|C1514873|C0597535|G0000000|C0085590|C0021107|G0000000|C0450371|C0008107|G0000000|C1266129|G0000000|C0450371|C0008107|G0000000|G0000000|C0369773|G0000000|C1442061
A total of 421 therapy tapes were audited (210 FBT and 211 SyFT).,A total 421 therapy tapes audited (210 FBT 211 SyFT).,G0000000|C0439175|C1442061|C0039798|C0183828|C1704774|C1442061|G0000000|C1442061|G0000000
"These regimens consisted of treatment with a 400-mg tablet of albendazole (Micro Labs, Ltd., Tamil Nadu, India), given as a single tablet once daily for 1, 2, or 3 consecutive days.","These regimens consisted treatment 400-mg tablet albendazole (Micro Labs, Ltd., Tamil Nadu, India), single tablet daily 1, 2, 3 consecutive days.",G0000000|C2945654|C0332529|C0039798|C1442061|C0039225|C0001911|C0085672|C0587081|C1136140|C0337946|G0000000|C0021201|C0037179|C0039225|C0332173|G0000000|G0000000|G0000000|C1707491|C0439228
Neither you nor the outcomes assessor will know which study treatment you are receiving.,Neither outcomes assessor study treatment receiving.,G0000000|C1274040|C1707957|C0557651|C0039798|C1514756
"Newborn infants were sector-randomized to receive 1 of 2 skin-cleansing regimens when the WD arrived at the house after delivery: (1) wiping of the total body excluding the eyes and ears with Pampers infant wipes (Procter and Gamble Co, Cincinnati, OH) that released a solution that contained 0.25% free chlorhexidine (equivalent to 0.44% chlorhexidine digluconate) or (2) wiping with the same infant wipes that lacked chlorhexidine (placebo).","Newborn infants sector-randomized receive 1 2 skin-cleansing regimens WD arrived house delivery: (1) wiping total body excluding eyes ears Pampers infant wipes (Procter Gamble Co, Cincinnati, OH) released solution contained 0.25% free chlorhexidine (equivalent 0.44% chlorhexidine digluconate) (2) wiping infant wipes lacked chlorhexidine (placebo).",C0021289|C0021270|C1708237|C1514756|G0000000|G0000000|C0444099|C2945654|C0019202|C1706079|C0442519|C0011209|G0000000|C0879140|C0439175|C0242821|C0332196|C0015392|C0013443|G0000000|C0021270|C0879140|G0000000|C0016995|C3245499|C3842140|C0220853|C0391871|C0037633|C0332256|C0450371|C0332296|C0008196|C0205163|C0450371|C0008196|G0000000|G0000000|C0879140|C0021270|C0879140|C0332268|C0008196|C0032042
"Patients received gait training with BWSTT or CT for an average of 30 minutes/day, 5 days/week, for 3 weeks.","Patients received gait training BWSTT CT average 30 minutes/day, 5 days/week, 3 weeks.",C0030705|C1514756|C0016928|C0040607|G0000000|C0007673|C1510992|C0450371|C0556973|G0000000|C0677547|G0000000|C0439230
Both groups completed an eight-week therapy program involving a total of 24 45-minute exercise sessions.,Both completed eight-week therapy program involving total 24 45-minute exercise sessions.,G0000000|C0205197|C0205454|C0039798|C1709697|C1314939|C0439175|C0450371|C0450371|C0015259|C1883016
"In each of the 42 communities, REACH targeted at least 1 of the following racial/ethnic groups: African Americans, Hispanic Americans, APIs, and American Indians/Alaska Natives.10 Although local strategies varied, intervention and evaluation in each community followed a logic model developed by CDC that included the following stages.11  Community-based coalitions were formed or expanded to address community health issues.","In 42 communities, REACH targeted 1 racial/ethnic groups: African Americans, Hispanic Americans, APIs, American Indians/Alaska Natives.10 Although local strategies varied, intervention evaluation community logic model developed CDC included stages.11 Community-based coalitions formed expanded address community health issues.",G0000000|C0450371|C0009462|C2584321|C1521840|G0000000|C0034510|C0441833|C0027567|C0596070|C0086409|C0596070|C0323350|C0596070|C1524069|C0079891|G0000000|C0205276|C0679199|G0000000|C0886296|C0220825|C0009462|C0023963|C3161035|G0000000|C0007670|C0332257|C1306673|C0009462|C0680207|C0205431|C0205229|C0376649|C0009462|C0018684|C0033213
Our lower dose of azithromycin of 250 mg of three times a week seemed equally effective and sufficient.,Our lower dose azithromycin 250 times week equally effective sufficient.,G0000000|C0441994|C0178602|C0052796|C1442061|C0040223|C0332174|G0000000|C1280519|C0205410
"To assess the benefits of a responsive feeding behaviour‐change programme, we helped an organization implement a six‐session module to groups of rural mothers in Bangladesh, and compared them with mothers and children who received only the regular nutrition education, mainly on foods to feed.","To assess benefits responsive feeding behaviour‐change programme, helped organization implement six‐session module rural mothers Bangladesh, compared mothers children received regular nutrition education, foods feed.",C0040363|C1516048|C0814225|C0205342|C0204695|G0000000|C1709697|C1269765|C0029237|G0000000|G0000000|C1709061|C0240919|C0026591|C0004732|C1707455|C0026591|C0008059|C1514756|C0205272|C0028707|C0013621|C0016452|C0204695
The patients in the TENS group were treated with TENS for 20 min three times a week for 12 weeks.,The patients TENS treated TENS 20 min times week 12 weeks.,G0000000|C0030705|C0014518|C1522326|C0014518|G0000000|C0040223|C0332174|C0450371|C0439230
The intervention was implemented as a group exercise once a week for 60 min over the course of 3 months at the hospital gymnasium.,The intervention implemented exercise week 60 min 3 months hospital gymnasium.,G0000000|C0886296|G0000000|C0015259|C0332174|C0450371|C0702093|G0000000|C0439231|C0019994|C0442572
"Four games, which utilised a depth-sensing camera (PrimeSense), were developed and tested.","Four games, utilised depth-sensing camera (PrimeSense), developed tested.",C0205450|C0150593|G0000000|C0205125|C0179533|G0000000|G0000000|C0392366
In this double-blinded study patients were randomized (1:1) to receive either a fixed 7-day course of doripenem one gram as a four-hour infusion every eight hours or a fixed 10-day course of imipenem-cilastatin one gram as a one-hour infusion every eight hours.,In double-blinded study patients randomized (1:1) receive fixed 7-day doripenem gram four-hour infusion hours fixed 10-day imipenem-cilastatin gram one-hour infusion hours.,G0000000|C0205173|C0557651|C0030705|C0034656|G0000000|C1514756|C0443218|C0332173|C0389169|C0439208|C0205450|C0574032|C0439227|C0443218|C0450371|C0071972|C0439208|C0205447|C0574032|C0439227
Raters were trained in one of the 2 treatments by reading the manual and viewing tapes of the training workshop for clinicians and were also trained in the application of the appropriate fidelity instrument for which reliability was established.,Raters trained 2 treatments reading manual viewing tapes training workshop clinicians trained application fidelity instrument reliability established.,G0000000|C0336809|G0000000|C0087111|C0034754|C0024763|C0449911|C0183828|C0040607|C0242262|C0871685|C0336809|C0185125|C0680011|C0348000|C2347947|C0443211
"Moreover, the addition of afatinib to temozolomide did not improve the PFS-6 rate.","Moreover, addition afatinib temozolomide improve PFS-6 rate.",G0000000|C0332287|C2987648|C0076080|G0000000|C0242792|C0871208
"The intensive group training protocol combines exercise therapy, back school and behavioural principles.","The intensive training protocol combines exercise therapy, school behavioural principles.",G0000000|C0162425|C0040607|C0442711|C0336789|C0015259|C0039798|C0036375|C0004927|G0000000
"After the test of response to salbutamol (Ventolin®, Glaxo Wellcome, UK; 100 or 200 μg [total dose 400 μg], administered using a pressurised metered-dose inhaler with a Volumatic spacer [Allen & Hanburys, UK]), eligible patients received either budesonide/formoterol (Symbicort® Turbuhaler®, AstraZeneca, Sweden; 320/9 μg, 2 inhalations at t = -5 minutes and a further 2 inhalations at t = 0 minutes [total dose 1280/36 μg], plus 2 inhalations of formoterol placebo containing lactose at t = -5 minutes and at t = 0 minutes) or formoterol (Oxis® Turbuhaler®, AstraZeneca, Sweden; 9 ug, 2 inhalations at t = -5 minutes and a further 2 inhalations at t = 0 minutes [total dose 36 μg], plus 2 inhalations of budesonide/formoterol placebo containing lactose at t = -5 minutes and at t = 0 minutes).","After test response salbutamol (Ventolin®, Glaxo Wellcome, UK; 100 200 μg [total dose 400 μg], administered pressurised metered-dose inhaler Volumatic spacer [Allen & Hanburys, UK]), eligible patients received budesonide/formoterol (Symbicort® Turbuhaler®, AstraZeneca, Sweden; 320/9 μg, 2 inhalations = -5 minutes 2 inhalations = 0 minutes [total dose 1280/36 μg], 2 inhalations formoterol placebo lactose = -5 minutes = 0 minutes) formoterol (Oxis® Turbuhaler®, AstraZeneca, Sweden; 9 ug, 2 inhalations = -5 minutes 2 inhalations = 0 minutes [total dose 36 μg], 2 inhalations budesonide/formoterol placebo lactose = -5 minutes = 0 minutes).",G0000000|C0022885|C0871261|C0001927|G0000000|C0331822|G0000000|C0041700|C1442061|C1442061|G0000000|C0439175|C0178602|C1442061|G0000000|C1521801|G0000000|C0475209|C0021461|G0000000|C0221874|G0000000|G0000000|G0000000|C0041700|C1548635|C0030705|C1514756|C1276807|G0000000|G0000000|G0000000|C0038995|C1442061|G0000000|G0000000|C0004048|G0000000|G0000000|C0439232|G0000000|C0004048|G0000000|G0000000|C0439232|C0439175|C0178602|C0450371|G0000000|G0000000|C0004048|C0060657|C0032042|C0022949|G0000000|G0000000|C0439232|G0000000|G0000000|C0439232|C0060657|G0000000|G0000000|G0000000|C0038995|G0000000|C0041573|G0000000|C0004048|G0000000|G0000000|C0439232|G0000000|C0004048|G0000000|G0000000|C0439232|C0439175|C0178602|C0450371|G0000000|G0000000|C0004048|C1276807|C0032042|C0022949|G0000000|G0000000|C0439232|G0000000|G0000000|C0439232
"Then, during a 1-week titration phase, optimal CPAP pressure will be obtained over eight nights at home using an auto CPAP device (RESMED) to obtain a fixed CPAP pressure value.","Then, 1-week titration phase, optimal CPAP pressure nights auto CPAP device (RESMED) fixed CPAP pressure value.",C1883708|C0332174|C0162621|C0205390|C2698651|C0199451|C0033095|C0240526|C1441488|C0199451|C0025080|G0000000|C0443218|C0199451|C0033095|C1522609
"Children were randomly assigned to wear either SVLs or PALs (Varilux Ellipse [Essilor of America, Inc., Dallas, TX], a short-corridor design with a +2.00-D add) made of polycarbonate material.","Children randomly assigned wear SVLs PALs (Varilux Ellipse [Essilor America, Inc., Dallas, TX], short-corridor design +2.00-D add) polycarbonate material.",C0008059|G0000000|C1516050|G0000000|G0000000|C0030360|G0000000|C1626074|G0000000|C0002454|G0000000|G0000000|C0041403|C1282927|C1707689|C0450371|C1883712|C0071524|C0520510
Clinical significance was evident for the comprehensive massage therapy group and the soft-tissue manipulation group on the measure of function.,Clinical significance evident comprehensive massage therapy soft-tissue manipulation measure function.,C0205210|C0237881|C3887511|C1880156|C0024875|C0039798|C0225317|C0185111|C0079809|C0031843
Patients with mild to moderate CAP (n = 265) were randomized to receive oral nemonoxacin (750 mg or 500 mg) or levofloxacin (500 mg) once daily for 7 days.,Patients mild moderate CAP (n = 265) randomized receive oral nemonoxacin (750 500 mg) levofloxacin (500 mg) daily 7 days.,C0030705|C2945599|C0205081|C0179586|C0369718|G0000000|C1442061|C0034656|C1514756|C0442027|C2742587|C1442061|C1442061|C0026410|C0282386|C1442061|C0026410|C0332173|G0000000|C0439228
Intervention—Trained school personnel conducted home safety inspections as part of a planned home visit.,Intervention—Trained school personnel conducted safety inspections planned visit.,G0000000|C0036375|C0024752|C0004927|C0036043|C0199219|C1301732|C0545082
"Change in AQLQ(S) following treatment with budesonide pMDI, budesonide/formoterol DPI or budesonide/formoterol pMDI.","Change AQLQ(S) treatment budesonide pMDI, budesonide/formoterol DPI budesonide/formoterol pMDI.",C0392747|C4055434|C0039798|C0054201|G0000000|C1276807|G0000000|C1276807|G0000000
"After the six Charting Your Course sessions, monthly follow-up calls reinforced prior content and identified new challenges or care coordination issues.","After Charting Your Course sessions, monthly follow-up calls reinforced prior content identified challenges care coordination issues.",G0000000|C0684240|G0000000|C0750729|C1883016|C0332177|C0589120|C0679006|G0000000|C0332152|C0423896|C0205396|C0805586|C1947933|C0242414|C0033213
"The 'Traditional' school screening programme (inspection plus letter) results in no more dental registration than sending a letter alone (Group 1 compared with Group 2), 3.","The 'Traditional' school screening programme (inspection letter) dental registration sending letter (Group 1 compared Group 2), 3.",G0000000|C0443324|C0036375|C0220908|C1709697|C0199219|C1096774|C0011365|C1514821|C1519246|C1096774|C0441833|G0000000|C1707455|C0441833|G0000000|G0000000
Group A was given Triphala and Ela decoction for 21 days and group B was given chlorehexidine mouthwash for 21 days twice daily after cleaning the oral cavity with water.,Group A Triphala Ela decoction 21 days B chlorehexidine mouthwash 21 days daily cleaning oral cavity water.,C0441833|G0000000|C1958185|C3810054|G0000000|C0450371|C0439228|G0000000|G0000000|C0026647|C0450371|C0439228|C0332173|C1947930|C0442027|C0011334|C0043047
Surgical treatment consisted of an open biopsy followed by a mastectomy or breast-conserving surgery with or without sentinel node biopsy and/or axillary nodal dissection.,Surgical treatment consisted biopsy mastectomy breast-conserving surgery sentinel node biopsy and/or axillary nodal dissection.,C0543467|C0039798|C0332529|C0005558|C0024881|C0006141|C0038894|C0950580|C0746922|C0005558|G0000000|C0004454|C0443268|C0012737
During the 4-month exercise intervention the exercise instructor supervises the lay instructor by a minimum of five telephone calls or e-mail contacts and two further home visits.,During 4-month exercise intervention exercise instructor supervises lay instructor minimum telephone calls e-mail contacts visits.,G0000000|C0332177|C0015259|C0886296|C0015259|C0221457|G0000000|G0000000|C0221457|C1524031|C0039457|C0679006|C0013849|C4036459|C0545082
"After six weeks of supervised training, subjects were expected to continue their walking program unsupervised in their community and to increase their step count/structured walk by 10% each week.","After weeks supervised training, subjects expected continue walking program unsupervised community increase step count/structured walk 10% week.",G0000000|C0439230|G0000000|C0040607|C0681850|C1517001|C0549178|C0080331|C1709697|G0000000|C0009462|C0442805|C1261552|C0750480|C0080331|C0450371|C0332174
Parents of the first group (Group I) were interviewed by a psychologist trained in smoking addiction.,Parents (Group I) interviewed psychologist trained smoking addiction.,C0030551|C0441833|C0021966|C0021822|C0033908|C0336809|C0037369|C0085281
"Data collection tool was a researcher-made questionnaire designed based on questionnaires of previous studies [21, 23] and changes made based on the opinions of health education professors, a book [37] and instructions on complementary feeding by the Ministry of Health.","Data collection tool researcher-made questionnaire designed based questionnaires previous studies [21, 23] based opinions health education professors, book [37] instructions complementary feeding Ministry Health.",C1511726|C1516698|C0336791|C0035173|C0034394|C1707689|C1527178|C0034394|C0205156|C0947630|C0450371|C0450371|C1527178|C0871010|C0018684|C0013621|C0599518|C0006002|C0450371|C0302828|G0000000|C0204695|G0000000|C0018684
Educational support included informing the mother about the natural process of childbirth and answering her questions.,Educational support included informing mother natural process childbirth answering questions.,C0587721|C0183683|C0332257|C0700287|C0026591|C0205296|C1184743|C0005615|C1706817|C1522634
"Patients in the usual-care group received standard care, which means that additional geriatric care was only provided at the request of the treating physician.","Patients usual-care received standard care, additional geriatric care provided request treating physician.",C0030705|C3538928|C1514756|C1442989|C1947933|C1524062|C1704440|C1947933|C1999230|C1272683|C1522326|C0031831
"The DHA dose was selected based on evidence that plasma levels increase in a dose-dependent manner up to approximately 2 g/d, while at higher doses no further increase in plasma DHA is seen.15 Placebo capsules (made up of corn or soy oil) were identical in appearance.","The DHA dose selected based evidence plasma levels increase dose-dependent manner 2 g/d, doses increase plasma DHA seen.15 Placebo capsules (made corn soy oil) identical appearance.",G0000000|C0142831|C0178602|C1707391|C1527178|C3887511|C0032105|C0441889|C0442805|C1512045|G0000000|G0000000|C0439417|C0178602|C0442805|C0032105|C0142831|C0205397|C0032042|C0006935|C1881534|C0010028|C0037733|C0028908|C0205280|C0233426
Clinical trial data on selenium supplementation is also limited in both developed and developing countries.,Clinical trial data selenium supplementation limited developed developing countries.,C0205210|C0008976|C1511726|C0036581|C0242297|C0439801|G0000000|G0000000|C0454664
"A total of 5-10 mL/kg of blood (maximum 500 mL) was removed every 4 weeks (± 1 week) as tolerated, with immediate volume replacement with normal saline.","A total 5-10 mL/kg blood (maximum 500 mL) removed 4 weeks (± 1 week) tolerated, volume replacement normal saline.",G0000000|C0439175|C0450371|C1300574|C0005767|C0806909|C1442061|C0439526|C0849355|G0000000|C0439230|G0000000|G0000000|C0332174|G0000000|C0449468|C0035139|C0205307|C0036082
"Women in group A, participated in an antenatal educations program for physiologic childbirth in 8 two-hour sessions.","Women A, participated antenatal educations program physiologic childbirth 8 two-hour sessions.",C0043210|G0000000|G0000000|C2828394|C0013621|C1709697|C0205463|C0005615|G0000000|C0205448|C1883016
The group format of the intervention (13 group sessions over 1 year) was complemented by 3 individual home visits and was implemented by individuals from the community with training and supervision by a clinical research nutritionist and a behavioral psychologist.,The format intervention (13 sessions 1 year) complemented 3 individual visits implemented individuals community training supervision clinical nutritionist behavioral psychologist.,G0000000|C1301627|C0886296|C0450371|C1883016|G0000000|C0439234|C0009498|G0000000|C0027361|C0545082|G0000000|C0027361|C0009462|C0040607|C0038842|C0205210|C0237083|C0004927|C0033908
Indacaterol 150 μg o.d.,Indacaterol 150 μg o.d.,C1722260|C1442061|G0000000|C0483204
"Similarly, bi-weekly group received 104 tablets spread over a period of 1-year.","Similarly, bi-weekly received 104 tablets spread period 1-year.",G0000000|C0332174|C1514756|C1442061|C0039225|C0332261|C0439531|C0439234
"All asthmatic women will receive asthma education with a full assessment of their asthma at 18, 24, 30 and 36 weeks gestation conducted by a respiratory nurse.","All asthmatic women receive asthma education assessment asthma 18, 24, 30 36 weeks gestation conducted respiratory nurse.",G0000000|C0004096|C0043210|C1514756|C0004096|C0013621|C1261322|C0004096|C0450371|C0450371|C0450371|C0450371|C0439230|C0032961|C0004927|C0521346|C0028661
"Eligible patients were randomized 1:1 by an interactive voice response system to receive onartuzumab (10 mg/kg) plus mFOLFOX6 (400 mg/m2 bolus and 2,400 mg/m2 intravenous 5-FU for 46–48 hours, 200 mg/m2 leucovorin, and 85 mg/m2 oxaliplatin for 2 hours) or placebo plus mFOLFOX6 in 2-week cycles for 12 cycles, followed by onartuzumab or placebo until disease progression.","Eligible patients randomized 1:1 interactive voice response system receive onartuzumab (10 mg/kg) mFOLFOX6 (400 mg/m2 bolus 2,400 mg/m2 intravenous 5-FU 46–48 hours, 200 mg/m2 leucovorin, 85 mg/m2 oxaliplatin 2 hours) placebo mFOLFOX6 2-week cycles 12 cycles, onartuzumab placebo disease progression.",C1548635|C0030705|C0034656|G0000000|C1704675|C0042939|C0871261|C0449913|C1514756|C2826110|C0450371|C0439272|G0000000|C1442061|C0026410|C1511237|C1442061|C0026410|C0348016|C0016360|G0000000|C0439227|C1442061|C0026410|C0023413|C0450371|C0026410|C0069717|G0000000|C0439227|C0032042|G0000000|C0332174|C1511572|C0450371|C1511572|C2826110|C0032042|C0012634|C0242656
Two different doses of calcium 75 vs. 230 mg/kg/day and phosphor 50 vs. 110 mg/kg/day were prescribed and laboratory and sonographic data were then documented and evaluated.,Two doses calcium 75 vs. 230 mg/kg/day phosphor 50 vs. 110 mg/kg/day prescribed laboratory sonographic data documented evaluated.,C0205448|C0178602|C0006675|C0450371|G0000000|C1442061|C3665414|C0259980|C0450371|G0000000|C1442061|C3665414|C0278329|C0022877|C0041618|C1511726|C1301725|C0220825
"The difference in 6-minute walk distance at 6 months in favor of Atorvastatin (from 238 ± 124 to 339 ± 155 meters, P = 0.003) that in comparison of placebo was not statistically significant Table 2.","The difference 6-minute walk distance 6 months favor Atorvastatin (from 238 ± 124 339 ± 155 meters, P = 0.003) comparison placebo statistically Table 2.",G0000000|C1705241|C0439232|C0080331|C0012751|G0000000|C0439231|C0309049|C0286651|G0000000|C1442061|G0000000|C1442061|C1442061|G0000000|C1442061|C0441074|C0369773|G0000000|C1442061|C1707455|C0032042|C0038215|C0039224|G0000000
"Outcomes, including quit rates, attempt rates, and motivational stage, 5,6 were compared at follow-up (9 months) between the control and intervention groups.","Outcomes, including quit rates, attempt rates, motivational stage, 5,6 compared follow-up (9 months) control intervention groups.",C1274040|C0332257|C0748223|C0871208|C1516084|C0871208|C0026605|C0205390|G0000000|C1707455|C0589120|G0000000|C0439231|C0243148|C0886296|C0441833
"The participants in the physical therapy group received the routine physical therapy offered by the orthopaedic specialist clinic, including pelvic manual traction, spinal manipulation, thermotherapy, infrared light therapy, electrical stimulation, and exercise therapy, as decided by the physical therapist.","The participants physical therapy received routine physical therapy offered orthopaedic specialist clinic, including pelvic manual traction, spinal manipulation, thermotherapy, infrared light therapy, electrical stimulation, exercise therapy, decided physical therapist.",G0000000|C0679646|C0031809|C0039798|C1514756|C0205547|C0031809|C0039798|C1444648|C0029355|C0087009|C0002424|C0332257|C0030797|C0024763|C0040597|C0521329|C0185111|C0020548|C1532326|C0023693|C0039798|C0013790|C1292856|C0015259|C0039798|G0000000|C0031809|C0871525
"A total of 317 patients were randomly assigned and received coded medication: 106 to placebo; 105 to Pyridorin, 150 mg twice daily (PYR 150); and 106 to Pyridorin, 300 mg twice daily (PYR 300) (Figure 1).","A total 317 patients randomly assigned received coded medication: 106 placebo; 105 Pyridorin, 150 daily (PYR 150); 106 Pyridorin, 300 daily (PYR 300) (Figure 1).",G0000000|C0439175|C1442061|C0030705|G0000000|C1516050|C1514756|C0009219|C0013227|C1442061|C0032042|C1442061|C3490643|C1442061|C0332173|G0000000|C1442061|C1442061|C3490643|C1442061|C0332173|G0000000|C1442061|G0000000|G0000000
