"After October 2004, an aromatase inhibitor was allowed.","After October 2004, aromatase inhibitor allowed.",G0000000|C3828732|G0000000|C0003805|C1999216|C0683607
"Administration of perioperative IV iron reduces the need for blood transfusion, and is associated with a shorter hospital stay, enhanced restoration of iron stores, and a higher mean Hb concentration 4 weeks after surgery.","Administration perioperative IV iron reduces blood transfusion, shorter hospital stay, enhanced restoration iron stores, Hb concentration 4 weeks surgery.",C0001554|C1518988|C0022326|C0302583|G0000000|C0005767|C0005841|C1282927|C0019994|G0000000|C2349975|C0449982|C0302583|C1698986|C0019046|C0004268|G0000000|C0439230|C0038894
The remaining four visits will be scheduled every month.,The remaining visits scheduled month.,G0000000|C1527428|C0545082|C0086960|C0332177
"The median time to healing in patients who developed paradoxical reactions was 24 weeks (range, 18 to 39 weeks).","The median time healing patients developed paradoxical reactions 24 weeks (range, 18 39 weeks).",G0000000|C0549183|C0040223|C0043240|C0030705|G0000000|C0205310|C0443286|C0450371|C0439230|C1514721|C0450371|C0450371|C0439230
"Though there are several studies on the HPV-16/18 AS04-adjuvanted vaccine worldwide (14-17), there has been previously no data of this vaccine in the Korean population.","Though studies HPV-16/18 AS04-adjuvanted vaccine worldwide (14-17), data vaccine Korean population.",G0000000|C0947630|C0021344|C0001551|C0042210|G0000000|C0450371|C1511726|C0042210|C1556095|C0032659
"Conventional method: A curved incision of 1.0 cm was made at the umbilical lower edge, an incision of 1.0-1.2 cm was made below the xiphoid, and a 0.5-cm incision was made 1-2 cm above the right clavicular line at the umbilical level.","Conventional method: A curved incision 1.0 cm umbilical lower edge, incision 1.0-1.2 cm xiphoid, 0.5-cm incision 1-2 cm clavicular umbilical level.",C0439858|C0025663|G0000000|C0205134|C0184898|G0000000|G0000000|C0041638|C0441994|C0205154|C0184898|G0000000|G0000000|C0043356|G0000000|C0184898|G0000000|G0000000|C0008913|C0041638|C0441889
"At baseline, participants had a mean age of 53 years; 54.2% were college graduates; 85.3% were white; 95% had had stage I or II breast cancer; 57.5% were node negative; 61.6% had had estrogen receptor (ER)–positive and progesterone receptor (PR)–positive tumors; 61.5% had received radiation therapy; 69.9% had received adjuvant chemotherapy; and 67.3% had received antiestrogen therapy.14 Details of the dietary intervention have been reported previously.","At baseline, participants age 53 years; 54.2% college graduates; 85.3% white; 95% stage I II breast cancer; 57.5% node negative; 61.6% estrogen receptor (ER)–positive progesterone receptor (PR)–positive tumors; 61.5% received radiation therapy; 69.9% received adjuvant chemotherapy; 67.3% received antiestrogen therapy.14 Details dietary intervention reported previously.",G0000000|C0168634|C0679646|C0001779|C0450371|C0439234|C0450371|C0557806|C0588053|C0450371|C0007457|C0450371|C0205390|C0021966|G0000000|C0006141|C0006826|C0450371|C0746922|C0205160|C0450371|C0014939|C0597357|G0000000|C0033308|C0597357|G0000000|C0027651|C0450371|C1514756|C0034519|C0039798|C0450371|C1514756|C0001551|C0013216|C0450371|C1514756|C0014930|C0039798|C1522508|C0012155|C0886296|C0684224|G0000000
Each subject’s physician continued epilepsy management.,Each subject’s physician continued epilepsy management.,G0000000|G0000000|C0031831|C0549178|C0014544|C0001554
"According to the symptoms and lung-function tests, the majority of children could be categorised as having mild persistent asthma.","According symptoms lung-function tests, majority children categorised mild persistent asthma.",C0680240|C0683368|C0035245|C0022885|C0680220|C0008059|G0000000|C2945599|C0205322|C0004096
"Originally developed on CD-ROM for the Apple platform, using MacroMind Director 5.0 authoring software,39 WDTA makes use of text, graphics, animation, sound, and video clips.","Originally developed CD-ROM Apple platform, MacroMind Director 5.0 authoring software,39 WDTA text, graphics, animation, sound, video clips.",G0000000|G0000000|C0079090|C0003625|C1710360|G0000000|G0000000|G0000000|C3812881|C0037585|G0000000|C1527021|G0000000|C0376650|C0037709|C0042655|C0175722
"During the second 6 weeks of the intervention, participants attended a face-to-face update counseling session with the exercise specialist every 2 weeks.","During 6 weeks intervention, participants attended face-to-face update counseling session exercise specialist 2 weeks.",G0000000|G0000000|C0439230|C0886296|C0679646|C1456498|C1553514|C1519814|C0010210|C1883016|C0015259|C0087009|G0000000|C0439230
"Origin of cancer in the population studied The study was started with an open-label, randomised titration phase to achieve stable pain control for 7 days.","Origin cancer population studied The study started open-label, randomised titration phase achieve stable pain control 7 days.",C0079946|C0006826|C0032659|C0557651|G0000000|C0557651|C1272689|C1709323|G0000000|C0162621|C0205390|G0000000|C0205360|C0030193|C0243148|G0000000|C0439228
An intention-to-treat approach was used in the analysis.,An intention-to-treat approach analysis.,G0000000|C0162425|C0449445|C0002778
"A few studies of Internet CBT in youth with mixed chronic pain conditions including headache have shown efficacy compared to standard medical care in reducing headache pain intensity and activity limitations [20, 21], but benefits were not found in other areas such as depression, parent behaviors, or sleep [20–22].","A studies Internet CBT youth mixed chronic pain conditions including headache efficacy compared standard medical care reducing headache pain intensity activity limitations [20, 21], benefits depression, parent behaviors, sleep [20–22].",G0000000|C0947630|C0282111|C0009244|C0001578|C0205430|C0205191|C0030193|C0012634|C0332257|C0018681|C1280519|C1707455|C1442989|C0199168|C1947933|C0392756|C0018681|C0030193|C0522510|C0205177|C0449295|C0450371|C0450371|C0814225|C0011570|C0030551|C0004927|C0037313|G0000000
"The 36-item Functional Assessment of Cancer Therapy Form B [22] (FACT-B) measures physical, emotional, social, and functional well-being as well as issues specific to breast cancer survivors.","The 36-item Functional Assessment Cancer Therapy Form B [22] (FACT-B) measures physical, emotional, social, functional well-being issues specific breast cancer survivors.",G0000000|C0450371|C0205245|C1261322|C0006826|C0039798|C0348078|G0000000|C0450371|C3899183|C0079809|C0031809|C0013987|C0728831|C0205245|C0018684|C0033213|C0205369|C0006141|C0006826|C0206194
The participants were selected by purposefully method sampling.,The participants selected purposefully method sampling.,G0000000|C0679646|C1707391|G0000000|C0025663|C0441621
Services were excluded if they did not undertake menu planning on site or where cooks did not understand English sufficiently to complete the survey.,Services excluded undertake menu planning site cooks understand English complete survey.,C0557854|C1554077|G0000000|G0000000|C0032074|C0205145|C1306756|C0162340|C0376245|C0205197|C0038951
"The concept of dentin bridge formation under pulpotomy medicaments has also remained a topic of debate amongst the researchers who suggest it to be either a healing response or the pulp reaction to irritation.35,39 Reactionary dentine formation is regarded as a consequence of repair processes within the pulp tissue by Waterhouse et al.40 This repair process, however, may fail after an initial attempt and ultimately lead to clinical failure.","The concept dentin bridge formation pulpotomy medicaments remained topic debate researchers healing response pulp reaction irritation.35,39 Reactionary dentine formation regarded consequence repair processes pulp tissue Waterhouse al.40 This repair process, however, fail initial attempt ultimately lead clinical failure.",G0000000|C0178566|C0011429|C0456378|C0220781|C0034104|C0456386|G0000000|C1522168|C0870392|C0035173|C0043240|C0871261|C0011399|C0443286|C0441723|G0000000|C0011429|C0220781|G0000000|C0686907|C0043240|C1184743|C0011399|C0040300|G0000000|C0202311|G0000000|C0043240|C1184743|G0000000|C0231175|C0205265|C1516084|G0000000|C0023175|C0205210|C0231174
"Children in the NIC (N = 785) did not receive SQ-LNS or tablets from 9 to 18 months of age, but received SQ-LNS with 10 mg zinc for 9 months beginning at 18 mo of age after the final blood sample was collected.","Children NIC (N = 785) receive SQ-LNS tablets 9 18 months age, received SQ-LNS 10 zinc 9 months 18 mo age final blood sample collected.",C0008059|G0000000|G0000000|C1514756|C0560749|C0039225|G0000000|C0450371|C0439231|C0001779|C1514756|C0560749|C0450371|C0043481|G0000000|C0439231|C0450371|C0026544|C0001779|C0205088|C0005767|C0370003|C1516695
(c) Effects of HRB on nausea after chemoradiotherapy.,(c) Effects HRB nausea chemoradiotherapy.,G0000000|C1280500|C1415715|C0027497|C0436307
"The PHQ-9 is a nine-item measure that detects symptoms of major depressive disorder according to the criteria of the Diagnostic and Statistical Manual of Mental Disorders-IV, with higher scores indicating worse depression.17 The 14-item HADS consists of two subscales that assess anxiety and depression symptoms.","The PHQ-9 nine-item measure detects symptoms major depressive disorder criteria Diagnostic Statistical Manual Mental Disorders-IV, scores indicating worse depression.17 The 14-item HADS consists subscales assess anxiety depression symptoms.",G0000000|C1879301|C0205455|C0079809|C0442726|C0683368|C0205082|G0000000|C0012634|C0243161|C0011900|C0038215|C0024763|C0229992|C0012634|C0449820|G0000000|C0332271|C0011570|G0000000|C0450371|C0048008|C0332529|G0000000|C1516048|C0003467|C0011570|C0683368
We were not able to demonstrate a statistically significant effect of LF on the rate of first late-onset sepsis episodes in infants with a birth weight < 2500g.,We demonstrate statistically LF rate late-onset sepsis episodes infants birth weight < 2500g.,G0000000|G0000000|C0038215|C1416933|C0871208|C4025592|C0036690|C0332189|C0021270|C0005615|C0005910|G0000000|G0000000
They were then collected from the upper phase and dried under nitrogen.,They collected upper phase dried nitrogen.,G0000000|C1516695|C1282910|C0205390|C1512080|C0028158
"The patient characteristics included diagnosis, birthdate, age, sex, body weight, inpatient/outpatient status, medical history, and complications.","The patient characteristics included diagnosis, birthdate, age, sex, body weight, inpatient/outpatient status, medical history, complications.",G0000000|C0030705|C1521970|C0332257|C0011900|C0421451|C0001779|C0009253|C0242821|C0005910|C0021562|C0449438|C0199168|C0019664|C0009566
The number of dissected lymph nodes in gastric cancer surgery is an important marker for radicality of surgery and quality of care [22-24].,The dissected lymph nodes gastric cancer surgery marker radicality surgery quality care [22-24].,G0000000|C0205239|C0024202|C0746922|C0038351|C0006826|C0038894|C0005516|C0302912|C0038894|C0332306|C1947933|C0450371
"Fifty-nine (78.7%) patients were diagnosed prior to age 5 years, and the median age at diagnosis was 3.2 years (range: 0.2-12.1 years).","Fifty-nine (78.7%) patients diagnosed prior age 5 years, median age diagnosis 3.2 (range: 0.2-12.1 years).",C3830128|C0450371|C0030705|C0011900|C0332152|C0001779|G0000000|C0439234|C0549183|C0001779|C0011900|G0000000|C1514721|C0450371|C0439234
Recipes for making energy-rich and nutrient-rich foods for children were promoted.,Recipes energy-rich nutrient-rich foods children promoted.,C0600194|C0424589|C0678695|C0016452|C0008059|C0033414
"Ferric Sulfate group showed 2 failures due to internal resorption and 1 due to inter radicular radiolucency (Figure 3) whereas internal resorption was the cause of all three failures in other two groups (electrosurgery and diode laser) (Figure 4, Figure 5).","Ferric Sulfate 2 failures internal resorption 1 inter radicular radiolucency (Figure 3) internal resorption failures (electrosurgery diode laser) (Figure 4, Figure 5).",C2346593|C0038720|G0000000|C0231174|C0205102|C2985494|G0000000|C0205103|C0040452|C2827491|G0000000|G0000000|C0205102|C2985494|C0231174|C0012002|C1707755|C0023089|G0000000|G0000000|G0000000|G0000000
"Children younger than 8 years were immobilized for a total of 3 weeks and children 8 years and older were immobilized for a total of 4 weeks, in accordance with hospital protocol.","Children 8 immobilized total 3 weeks children 8 immobilized total 4 weeks, hospital protocol.",C0008059|G0000000|C0020944|C0439175|G0000000|C0439230|C0008059|G0000000|C0020944|C0439175|G0000000|C0439230|C0019994|C0442711
"For the comparison within group, paired t-test was used to analyze the VSC level between baseline and 30 minutes, baseline and 3 hours, as well as baseline and day 28, while Wilcoxon sign rank test was used to analyze PI and PBI between baseline and Day 28.","For comparison group, paired t-test analyze VSC level baseline 30 minutes, baseline 3 hours, baseline day 28, Wilcoxon sign rank test analyze PI PBI baseline Day 28.",G0000000|C1707455|C0441833|C1709450|C0871472|G0000000|G0000000|C0441889|C0168634|C0450371|C0439232|C0168634|G0000000|C0439227|C0168634|C0332173|C0450371|G0000000|C0311392|C0699794|C0022885|G0000000|C0429863|C1424926|C0168634|C0332173|C0450371
"While we recognize the value of this technique, we reasoned that given frequent titrations of the drug and downstream blood pressure measurements, we may have missing data if we required frequent 24-h ambulatory blood pressure monitoring.","While recognize technique, reasoned frequent titrations drug downstream blood pressure measurements, missing data required frequent 24-h ambulatory blood pressure monitoring.",G0000000|G0000000|C0449851|C0392360|C0332183|C0162621|C0013227|C0522506|C0005767|C0033095|C0242485|C1551393|C1511726|C1514873|C0332183|C0450371|C0439841|C0005767|C0033095|C0150369
"The intervention was based on an ecological framework,13 and program components targeted (1) access for walking in the neighborhood, (2) positive practices and perceptions related to safety, and (3) residents’ social connectedness and motivation for walking.","The intervention based ecological framework,13 program components targeted (1) access walking neighborhood, (2) positive practices perceptions safety, (3) residents’ social connectedness motivation walking.",G0000000|C0886296|C1527178|C0013546|C0450371|C1709697|C0449432|C1521840|G0000000|C0444454|C0080331|C0027569|G0000000|C0439178|C0237607|C0030971|C0036043|G0000000|G0000000|C0728831|C0449379|C0026605|C0080331
"Generally, a MBSR intervention program is 6 or 8 weeks long and includes weekly 2-hour group sessions where participants receive systematic training to promote stress reduction by self-regulating mindfulness practices such as sitting meditation, body scan, and yoga, among others.","Generally, MBSR intervention program 6 8 weeks includes weekly 2-hour sessions participants receive systematic training promote stress reduction self-regulating mindfulness practices sitting meditation, body scan, yoga, others.",G0000000|G0000000|C0886296|C1709697|G0000000|G0000000|C0439230|C0332257|C0332174|C0439227|C1883016|C0679646|C1514756|C0220922|C0040607|C0033414|C0038435|C0301630|C0036588|C0086045|C0237607|C0277814|C0150277|C0242821|C0034606|C0043418|C1955473
"Thus, overall 93.9% of randomized patients were evaluated for DVT by at least one objective screening modality.","Thus, 93.9% randomized patients evaluated DVT objective screening modality.",G0000000|C0450371|C0034656|C0030705|C0220825|C0149871|C0018017|C0220908|C0695347
"Anthropometric indices will be calculated using WHO 2006 standards (ANTHRO V.3.2.2, January 2011) and expressed as z-scores for weight-for-height (WHZ), weight-for-age (WAZ) and height-for-age (HAZ).","Anthropometric indices calculated WHO 2006 standards (ANTHRO V.3.2.2, January 2011) expressed z-scores weight-for-height (WHZ), weight-for-age (WAZ) height-for-age (HAZ).",C0003188|C4033634|C0444686|G0000000|G0000000|C0038137|G0000000|G0000000|C3829466|G0000000|G0000000|C0871421|C0005910|G0000000|C0005910|G0000000|C0489786|G0000000
Acute hospitalisation may be a particularly effective time to deliver home management training.,Acute hospitalisation effective time deliver management training.,C0205178|C0019993|C1280519|C0040223|C0308779|C0001554|C0040607
"Both cycloplegic autorefraction and axial length were measured at baseline, 1 month, and 3 months, and then at 3-month intervals.","Both cycloplegic autorefraction axial length measured baseline, 1 month, 3 months, 3-month intervals.",G0000000|C0010586|G0000000|C0205131|C1444754|C0444706|C0168634|G0000000|C0332177|G0000000|C0439231|C0332177|C1272706
"The study is the first of its kind to measure the efficacy of housing on reducing clinical malaria, assess the incremental cost-effectiveness of improved housing, and identify mechanisms for scaling up housing interventions.","The study measure efficacy housing reducing clinical malaria, assess incremental cost-effectiveness improved housing, identify mechanisms scaling housing interventions.",G0000000|C0557651|C0079809|C1280519|C0020056|C0392756|C0205210|C0024530|C1516048|C1705117|C0010181|C0184511|C0020056|G0000000|C0441712|C0237849|C0020056|C0886296
"Granulocyte-macrophage colony-stimulating factor (GM-CSF) is a well-tolerated cytokine with activities that suggest a possible role in cancer immunotherapy.1 It increases the number of monocytes/macrophages in patients with cancer 2 and, in vitro, enhances their ability to lyse tumor cells.3 GM-CSF has a clear role in the growth and maturation of dendritic cells.4 It may also have antiangiogenic activity.5","Granulocyte-macrophage colony-stimulating factor (GM-CSF) well-tolerated cytokine activities role cancer immunotherapy.1 It increases monocytes/macrophages patients cancer 2 and, vitro, enhances ability lyse tumor cells.3 GM-CSF role growth maturation dendritic cells.4 It antiangiogenic activity.5",C0018183|C0439158|C1521761|C0079460|C0205170|C0079189|C0441655|C0035820|C0006826|C0021083|G0000000|C0205217|C1148382|C0030705|C0006826|G0000000|G0000000|C1533691|C2349975|C0085732|C0024348|C0027651|C0007634|C0079460|C0035820|C0018270|C0678723|C0011305|C0007634|G0000000|C0596087|C0205177
"The four arms are needed for the different help system settings, in which the CAN Stop training programme is evaluated: (a) the drug addiction aid and youth welfare system, (b) the out-patient medical system, (c) the in-patient medical system and (d) prisons for juvenile offenders.","The arms system settings, CAN Stop training programme evaluated: (a) drug addiction aid youth welfare system, (b) out-patient medical system, (c) in-patient medical system (d) prisons juvenile offenders.",G0000000|C0206655|C0449913|C0542559|G0000000|C1947925|C0040607|C1709697|C0220825|G0000000|C0013227|C0085281|C0449435|C0001578|C0037440|C0449913|G0000000|C0029921|C0199168|C0449913|G0000000|C0150312|C0199168|C0449913|C0073187|C0033168|C3146221|C0699726
The program comprises an evidence-based patient decision aid and training of physicians (2 hours) and specialized breast care and oncology nurses (4 days) in informed shared decision-making.,The program comprises evidence-based patient decision aid training physicians (2 hours) specialized breast care oncology nurses (4 days) informed shared decision-making.,G0000000|C1709697|C2700400|C3887511|C0030705|C0679006|C0449435|C0040607|C0031831|G0000000|C0439227|C0205555|C0006141|C1947933|C0027651|C0028661|G0000000|C0439228|C1522154|C0237876|C0011109
Similar mixed method follow-up interviews were conducted with both patients and carers at each subsequent follow-up interview (t2–t5) at fortnightly intervals.,Similar mixed method follow-up interviews conducted patients carers subsequent follow-up interview (t2–t5) fortnightly intervals.,C2348205|C0205430|C0025663|C0589120|C0021822|C0004927|C0030705|C0085537|C0332282|C0589120|C0021822|G0000000|C0585332|C1272706
"At the time of the study, in the UK, the first dose was given at 13 months and the second dose between four and five and half years of age [34].","At time study, UK, dose 13 months dose half age [34].",G0000000|C0040223|C0557651|C0041700|C0178602|C0450371|C0439231|C0178602|C2825407|C0001779|C0450371
"Several studies from Ethiopia have shown a high insecticide resistance in malaria mosquitoes, especially in relation to DDT, malathion, permethrin and deltamethrin [38–42].","Several studies Ethiopia insecticide resistance malaria mosquitoes, relation DDT, malathion, permethrin deltamethrin [38–42].",C0439064|C0947630|C0015024|C0021576|C0237834|C0024530|C0026584|C0080103|G0000000|C0024547|C0070455|C0057233|G0000000
"Additionally, it can help improve the shoulder range of motion in patients with breast cancer and help alleviate fatigue.","Additionally, improve shoulder range motion patients breast cancer alleviate fatigue.",G0000000|G0000000|C0037004|C1514721|C0026597|C0030705|C0006141|C0006826|G0000000|C0015672
"The incidence of clinically significant thrombocytopenic events in patients receiving romiplostim 500 μg, romiplostim 750 μg, or placebo was 62%, 71%, and 85%, respectively.","The incidence clinically thrombocytopenic events patients receiving romiplostim 500 μg, romiplostim 750 μg, placebo 62%, 71%, 85%, respectively.",G0000000|C0021149|G0000000|G0000000|C0441471|C0030705|C1514756|C2364481|C1442061|G0000000|C2364481|C1442061|G0000000|C0032042|C0450371|C0450371|C0450371|G0000000
"The patients received cytoreductive surgery (total hysterectomy plus bilateral appendix resection), followed by 6–8 courses of platinum-based combination chemotherapy.","The patients received cytoreductive surgery (total hysterectomy bilateral appendix resection), 6–8 courses platinum-based combination chemotherapy.",G0000000|C0030705|C1514756|G0000000|C0038894|C0439175|C0020699|C0238767|C0003617|C0015252|G0000000|C0750729|C0032207|C0205195|C0013216
"CD4 and viral load tests were done approximately six-monthly[9,27].","CD4 viral load tests six-monthly[9,27].",C0285590|C0521026|C1550025|C0022885|C0585339
A prospective study demonstrated that agreement and understanding between patients and informal caregivers about patients’ preferred place of palliative care seems to be a crucial prerequisite for obtaining death at home [23].,A prospective study demonstrated agreement understanding patients informal caregivers patients’ preferred palliative care crucial prerequisite obtaining death [23].,G0000000|C0023981|C0557651|G0000000|C0680240|C0162340|C0030705|G0000000|C0085537|G0000000|C0558295|C0587605|C1947933|G0000000|C0679209|C1301820|C0011065|C0450371
"In addition, we recognize that concerns have been raised for the long-term adverse health effects of high levels of dairy consumption (55, 56)—an issue we were unable to address because of the study's short duration.","In addition, recognize concerns raised long-term adverse health effects levels dairy consumption (55, 56)—an issue unable address study's short duration.",G0000000|C0332287|G0000000|C2699424|C0442818|C0443252|G0000000|C0018684|C1280500|C0441889|C3687582|C0009830|C0450371|G0000000|C0033213|C1299582|C0376649|C0557651|C1282927|C0449238
"Serum 25(OH)D3 was measured by high-performance liquid chromatography tandem mass spectroscopy (LC-MS/MS), which showed that only 25(OH)D3 was obtained in the serum samples, 25(OH)D2 was not detectable in any serum samples [18, 19].","Serum 25(OH)D3 measured high-performance liquid chromatography tandem mass spectroscopy (LC-MS/MS), 25(OH)D3 serum samples, 25(OH)D2 detectable serum samples [18, 19].",C0229671|C0450371|C0444706|C0205250|C0301571|C0008550|C0075804|C0577559|C0037812|C0872318|C0450371|C0229671|C0370003|C0450371|C3830527|C0229671|C0370003|C0450371|C0450371
"Early surgical intervention of MSCFs has resulted in improved outcomes and a decreased rate of nonunion and symptomatic malunion compared with nonoperative treatment [3, 6, 9].","Early surgical intervention MSCFs improved outcomes decreased rate nonunion symptomatic malunion compared nonoperative treatment [3, 6, 9].",C1279919|C0543467|C0886296|G0000000|C0184511|C1274040|C0205216|C0871208|C3897107|C0231220|C3898471|C1707455|G0000000|C0039798|G0000000|G0000000|G0000000
"In order to allow women randomized into the immediate arm to initiate participation in the nutrition courses as part of a group, randomization occurred at five different time points throughout the course of the study.","In women randomized arm initiate participation nutrition courses group, randomization occurred time study.",G0000000|C0043210|C0034656|C0446516|C1548602|C0679823|C0028707|C0750729|C0441833|C0034656|C1709305|C0040223|C0557651
"Kaohsiung City and its suburbs including four complexes of Tsoying, Tasheh, Jenwu, and Linyuan are in southwestern Taiwan.","Kaohsiung City suburbs including complexes Tsoying, Tasheh, Jenwu, Linyuan southwestern Taiwan.",G0000000|C0008848|C0178856|C0332257|C1704241|G0000000|G0000000|G0000000|G0000000|C1710136|C0039260
None of these differences were significant.,None differences significant.,G0000000|C1705241|C0237881
"d. Patients must be willing and able to attend supervised exercise sessions at least 3 times per week for a period of 24 weeks, with the intention of achieving an 80% minimum compliance target for attendance.","d. Patients attend supervised exercise sessions 3 times week period 24 weeks, intention achieving 80% minimum compliance target attendance.",C0073187|C0030705|C1999232|G0000000|C0015259|C1883016|G0000000|C0040223|C0332174|C0439531|C0450371|C0439230|C0162425|G0000000|C0450371|C1524031|C0009563|C1521840|C2827364
"Participants reported cognitive complaints using the Breast Cancer Prevention Trial (BCPT) Cognitive Problems scale at baseline, immediately post-intervention, and 3-month follow-up.","Participants reported cognitive complaints Breast Cancer Prevention Trial (BCPT) Cognitive Problems scale baseline, post-intervention, 3-month follow-up.",C0679646|C0684224|C1516691|C0277786|C0006141|C0006826|C0199176|C0008976|C1511293|C1516691|C1546466|C0175659|C0168634|C2347647|C0332177|C0589120
"The effect size for primary and other categorical outcomes was expressed as an absolute difference, with an upper 90% confidence limit for any difference favouring the conventional spacer.","The size primary categorical outcomes expressed absolute difference, upper 90% confidence limit difference favouring conventional spacer.",G0000000|C0456389|C0205225|C0683312|C1274040|G0000000|C0205344|C1705241|C1282910|C0450371|C0237529|C0439801|C1705241|G0000000|C0439858|C0221874
"We measured QOL with the 27-item Functional Assessment of Cancer Therapy-General (FACT-G) scale, which assesses four dimensions of QOL (physical, functional, emotional, and social well-being).","We measured QOL 27-item Functional Assessment Cancer Therapy-General (FACT-G) scale, assesses dimensions QOL (physical, functional, emotional, social well-being).",G0000000|C0444706|C0518214|C0450371|C0205245|C1261322|C0006826|C0039798|C1707998|C0175659|C1516048|C0439534|C0518214|C0031809|C0205245|C0013987|C0728831|C0018684
Allogenic blood transfusion was needed for one patient (4.2%) in TXA group and for eight patients (33.3%) in the control group.,Allogenic blood transfusion patient (4.2%) TXA patients (33.3%) control group.,C1515895|C0005767|C0005841|C0030705|G0000000|G0000000|C0030705|C0450371|C0243148|C0441833
We therefore examined the association between green-tea consumption and prostate cancer incidence among men in the Ohsaki Cohort Study conducted in rural Japan.,We examined association green-tea consumption prostate cancer incidence Ohsaki Cohort Study conducted rural Japan.,G0000000|C0332128|C0004083|C1384640|C0009830|C0033572|C0006826|C0021149|G0000000|C0599755|C0557651|C0004927|C0240919|C0022341
All these measurements were measured at baseline and after six week of exercise intervention.,All measurements measured baseline week exercise intervention.,G0000000|C0242485|C0444706|C0168634|C0332174|C0015259|C0886296
Median survival after recurrence is 72 months (range 1–207).,Median survival recurrence 72 months (range 1–207).,C0549183|C0038952|C0034897|C0450371|C0439231|C1514721|G0000000
Teachers of participant students reported on student (N = 1225) substance use and violence.,Teachers participant students reported student (N = 1225) substance violence.,C0221457|C0679646|C0038492|C0684224|C0038492|C0369718|G0000000|G0000000|C0439861|C0042693
Modified Brock criteria11 (Table 1) were used to assign a rating of hearing loss for each ear.,Modified Brock criteria11 (Table 1) assign rating hearing loss ear.,C0392747|G0000000|G0000000|C0039224|G0000000|C1516050|C0871208|C0018767|C1517945|C0013443
Coloplasty pouch construction from descending colon.,Coloplasty pouch construction descending colon.,G0000000|C0222017|C0441513|C0205386|C0009368
The symbol ‘%' indicates the percentage of patients in the trial or trial arm.,The symbol ‘%' percentage patients trial trial arm.,G0000000|C0679214|G0000000|C0439165|C0030705|C0008976|C0008976|C0446516
"Summary of Ab, CD4, and CD8 responses in ovarian cancer and melanoma patients  Three out of 22 EOC patients (nos.","Summary Ab, CD4, CD8 responses ovarian cancer melanoma patients Three 22 EOC patients (nos.",C1552616|G0000000|C0285590|C0285590|C0871261|C0205065|C0006826|C0025202|C0030705|C0205449|C0450371|G0000000|C0030705|C0326287
The present study has several shortcomings.,The study shortcomings.,G0000000|C0557651|G0000000
"This study would not have been possible without the participation of those breast cancer patients who enrolled in this trial, agreed to be randomized, and graciously gave of their time to complete the baseline and follow-up questionnaires.","This study participation breast cancer patients enrolled trial, agreed randomized, graciously time complete baseline follow-up questionnaires.",G0000000|C0557651|C0679823|C0006141|C0006826|C0030705|G0000000|C0008976|C3641827|C0034656|G0000000|C0040223|C0205197|C0168634|C0589120|C0034394
The standard χ2 test for frequency was used to compare response rate (CR) of treatment.,The standard χ2 test frequency compare response rate (CR) treatment.,G0000000|C1442989|G0000000|C0022885|C0376249|C1707455|C0871261|C0871208|C0201975|C0039798
"We detected cor pulmonale in 5.2% of our patients (with echocardiographic confirmation in 74% of these patients), which was strongly associated with poor outcome in multivariate analysis (AHR 3.61).","We detected cor pulmonale 5.2% patients (with echocardiographic confirmation 74% patients), poor outcome multivariate analysis (AHR 3.61).",G0000000|C0442726|C0018787|G0000000|G0000000|C0030705|G0000000|C0013516|C0521091|C0450371|C0030705|C0032854|C1274040|G0000000|C0002778|G0000000|C0450371
"Overall, the results of this study comprehensively describe the absence of acute and medium-term cochleotoxicity in CF patients with no preexisting hearing loss entered into the TOPIC study.","Overall, study comprehensively absence acute medium-term cochleotoxicity CF patients preexisting hearing loss entered TOPIC study.",C0282416|C0557651|G0000000|C0332197|C0205178|C0009458|G0000000|C0009738|C0030705|C2347662|C0018767|C1517945|C1521975|C1522168|C0557651
Off-menu refers to beverages that could be requested by the customer but were not listed on the menu.,Off-menu refers beverages requested customer listed menu.,G0000000|C0205543|C0005329|C1272683|C2981734|C0745732|G0000000
"Lesion Characteristics Abbreviations: RS, radiosurgery; S, surgery; WBRT, whole-brain radiotherapy.","Lesion Characteristics Abbreviations: RS, radiosurgery; S, surgery; WBRT, whole-brain radiotherapy.",C0221198|C1521970|C0000723|C0035970|C0085203|C0565930|C0038894|C1520143|C1269537|C0034619
Study schema.,Study schema.,C0557651|C0871287
